,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Distance,Venue Category
0,Charlottenburg-Wilmersdorf,52.497058,13.29649,aviare consult,52.5060243,13.3148288,1593,Plane
1,Friedrichshain-Kreuzberg,52.5015,13.43512,TAP Portugal Flight TP 537,52.512813568115234,13.423080444335938,1500,Plane
5,Reinickendorf,52.56755,13.33165,Easyjet Flight Eju 5501 Txl - Dus,52.565308,13.306527,1718,Plane
6,Reinickendorf,52.56755,13.33165,Lufthansa Flight LH 2755,52.558831,13.309075,1809,Plane
7,Reinickendorf,52.56755,13.33165,TWOV-Zone / Tegel Airport,52.565365652327586,13.342282819931507,759,Airport Lounge
8,Reinickendorf,52.56755,13.33165,easyJet Flight EZY 5883,52.558846,13.308309,1852,Plane
